,cases,deaths,tests_negative,tests_total,recovered
2020-03-12,1,0,0,0,0
2020-03-13,1,0,0,0,0
2020-03-14,1,0,0,0,0
2020-03-15,1,0,0,0,0
2020-03-16,2,0,0,0,0
2020-03-17,2,0,0,0,0
2020-03-18,3,0,0,0,0
2020-03-19,4,0,1853,1857,0
2020-03-20,6,0,2056,1857,0
2020-03-21,9,0,2212,2221,0
2020-03-22,19,0,2395,2221,0
2020-03-23,32,0,2576,2221,0
2020-03-24,39,0,2576,2221,0
2020-03-25,44,0,2964,3008,0
2020-03-26,53,0,3216,3008,0
2020-03-27,62,0,3698,3008,0
2020-03-28,71,0,3988,4059,2
2020-03-29,77,0,4230,4059,2
2020-03-30,78,1,4363,4059,2
2020-03-31,80,1,4363,4059,2
2020-04-01,84,1,4774,4059,8
2020-04-02,88,1,4931,5018,11
2020-04-03,91,1,5040,5018,18
2020-04-04,93,2,5040,5018,18
2020-04-05,96,2,5258,5018,28
2020-04-06,96,2,5329,5018,40
2020-04-07,97,2,5497,5018,42
2020-04-08,99,2,5679,5778,47
2020-04-09,100,2,5679,5778,47
